編號,名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,技能,卡片,封印,騎乘,出沒,一級出沒,入手方法,入手類型,image,來源
143,紅帽哥布林,人形系,23,30,29,20,5,9,107,水7火3,攻擊LV1、防禦LV1,2級普卡,○,○,法蘭城附近、維諾亞村附近、牛鬼的洞窟、哥布林之家,"牛鬼的洞窟最上層打倒鬼犬後出現或維諾亞村附近(339,493)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包","法蘭城附近、維諾亞村附近、牛鬼的洞窟、哥布林之家；牛鬼的洞窟最上層打倒鬼犬後出現或維諾亞村附近(339,493)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包",捕捉,/img/原生寵物/紅帽哥布林.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #143
144,火焰哥布林,人形系,22,28,26,15,14,9,105,火7風3,攻擊LV1、防禦LV1,3級銀卡,○,○,莎蓮娜島傑諾瓦周邊,"傑諾瓦鎮附近(257,593)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包","莎蓮娜島傑諾瓦周邊；傑諾瓦鎮附近(257,593)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包",捕捉,/img/原生寵物/火焰哥布林.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #144
145,烈風哥布林,人形系,30,26,24,23,4,9,107,地3風7,攻擊LV1、防禦LV1,3級銀卡,○,○,深淵、奇怪的坑道,"深淵的地下水脈「(44,55)(45,55)此座標以外遇不到」、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包","深淵、奇怪的坑道；深淵的地下水脈「(44,55)(45,55)此座標以外遇不到」、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包",捕捉,/img/原生寵物/烈風哥布林.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #145
146,巨人,人形系,38,35,24,9,14,6,120,地10,攻擊LV1、防禦LV1,5級普卡,○,○,風鳴之塔,"風鳴之塔十樓(14,62)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包","風鳴之塔；風鳴之塔十樓(14,62)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包",捕捉,/img/原生寵物/巨人.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #146
147,單眼巨人,人形系,34,34,20,12,20,6,120,水10,攻擊LV1、防禦LV1,6級銀卡,○,╳,弗利德島、環山、環山之頂,"弗利德島(102,87)、到達方法參考任務：彩葉草之戀、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包","弗利德島、環山、環山之頂；弗利德島(102,87)、到達方法參考任務：彩葉草之戀、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包",捕捉,/img/原生寵物/單眼巨人.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #147
148,泰坦巨人,人形系,39,30,28,8,15,6,120,風10,攻擊LV1、防禦LV1,5級普卡,○,○,紳士淑女養成學校,完成「魔物狩獵」任務隨機取得、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包,紳士淑女養成學校；完成「魔物狩獵」任務隨機取得、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包,捕捉,/img/原生寵物/泰坦巨人.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #148
149,亞特拉斯巨神,人形系,37,37,17,17,12,6,120,火10,攻擊LV1、防禦LV1,6級銀卡,○,╳,風鳴之塔、火炎之谷,"風鳴之塔十樓(60,64)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包","風鳴之塔、火炎之谷；風鳴之塔十樓(60,64)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包",捕捉,/img/原生寵物/亞特拉斯巨神.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #149
150,盜賊,人形系,23,28,21,31,12,7,115,火5風5,攻擊LV1、防禦LV1,3級普卡,╳,╳,法蘭城附近、伊爾村村附近、奇利村附近、加納村附近、牛鬼的洞窟、海賊的洞窟,法蘭城附近、牛鬼的洞窟最上層、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包,法蘭城附近、伊爾村村附近、奇利村附近、加納村附近、牛鬼的洞窟、海賊的洞窟；法蘭城附近、牛鬼的洞窟最上層、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包,捕捉,/img/原生寵物/盜賊.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #150
151,山賊,人形系,28,27,24,26,10,7,115,地5風5,攻擊LV1、防禦LV1,4級普卡,╳,╳,奇利村附近、加納村附近、睿奇洞窟、地下遺跡,左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包,奇利村附近、加納村附近、睿奇洞窟、地下遺跡；左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包,捕捉,/img/原生寵物/山賊.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #151
152,海盜,人形系,19,31,23,28,14,7,115,水5火5,攻擊LV1、防禦LV1,4級普卡,╳,○,夜之蒂娜或加納村外(晚上),使用「海盜召喚書」；活動「2006年幸福一刻館」、活動「2007年幸福一刻館」、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包,夜之蒂娜或加納村外(晚上)；使用「海盜召喚書」；活動「2006年幸福一刻館」、活動「2007年幸福一刻館」、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包,捕捉,/img/原生寵物/海盜.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #152
153,破壞狂,人形系,27,26,30,24,8,7,115,地5水5,攻擊LV1、防禦LV1,4級普卡,╳,╳,奇怪的坑道,集齊字卡「魔、力、寶、貝」4字取得；購買「芙蕾雅的祝褔」產品包、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包,奇怪的坑道；集齊字卡「魔、力、寶、貝」4字取得；購買「芙蕾雅的祝褔」產品包、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包,捕捉,/img/原生寵物/破壞狂.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #153
154,鳥人,人形系,17,17,17,37,22,8,110,地9風1,攻擊LV1、防禦LV1,3級普卡,○,○,芙蕾雅島亞留特村附近、白之練兵場(紅),"亞留特村周邊(620,65)、(589,44)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包","芙蕾雅島亞留特村附近、白之練兵場(紅)；亞留特村周邊(620,65)、(589,44)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包",捕捉,/img/原生寵物/鳥人.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #154
155,幻歌妖,人形系,15,18,20,38,19,8,110,地1水9,攻擊LV1、防禦LV1,4級銀卡,○,○,傑諾瓦鎮附近、白之練兵場(紅),"傑諾瓦鎮附近(80,346)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包","傑諾瓦鎮附近、白之練兵場(紅)；傑諾瓦鎮附近(80,346)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包",捕捉,/img/原生寵物/幻歌妖.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #155
156,狠毒鳥人,人形系,18,19,14,39,20,8,110,水1火9,攻擊LV1、防禦LV1、抗混亂LV1,3級普卡,○,○,加納近附近、亞諾曼城西門外、白之練兵場(紅),"加納沙漠(690,357)、(451,389)、(472,387)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包","加納近附近、亞諾曼城西門外、白之練兵場(紅)；加納沙漠(690,357)、(451,389)、(472,387)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包",捕捉,/img/原生寵物/狠毒鳥人.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #156
157,烈風鳥人,人形系,13,20,12,42,23,8,110,火1風9,攻擊LV1、防禦LV1,4級銀卡,○,○,阿巴尼斯村附近、白之練兵場(紅),"阿巴尼斯村附近(56,163)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包","阿巴尼斯村附近、白之練兵場(紅)；阿巴尼斯村附近(56,163)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包",捕捉,/img/原生寵物/烈風鳥人.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #157
158,黑暗鳥人,人形系,19,11,11,43,31,8,115,地5風5,攻擊LV1、防禦LV1、石化攻擊LV1,4級銀卡,○,○,冰之洞窟、白之練兵場(紅),"冰之洞窟二樓(40,43)、(65,39)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包","冰之洞窟、白之練兵場(紅)；冰之洞窟二樓(40,43)、(65,39)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包",捕捉,/img/原生寵物/黑暗鳥人.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #158
159,山飛甲,野獸系,27,21,15,30,27,6,120,地6風4,攻擊LV1、防禦LV1,5級普卡,╳,╳,白色方舟,,白色方舟,捕捉,/img/原生寵物/山飛甲.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #159
160,獨角獸,野獸系,17,25,13,28,37,6,120,地4水6,攻擊LV1、防禦LV1,6級銀卡,╳,○,白色方舟,完成「最後的真相(一等勳章)…艾爾巴部分」任務隨機取得,白色方舟；完成「最後的真相(一等勳章)…艾爾巴部分」任務隨機取得,捕捉,/img/原生寵物/獨角獸.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #160
161,天馬,野獸系,22,22,12,32,32,6,120,水4火6,攻擊LV1、防禦LV1,5級普卡,╳,○,白色方舟,完成「最後的真相(一等勳章)…艾爾巴部分」任務隨機取得,白色方舟；完成「最後的真相(一等勳章)…艾爾巴部分」任務隨機取得,捕捉,/img/原生寵物/天馬.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #161
162,麒麟,野獸系,19,27,10,34,30,6,120,火4風6,攻擊LV1、防禦LV1,6級銀卡,╳,○,白色方舟,完成「神域的使者」任務隨機取得、活動「紅利兌換」,白色方舟；完成「神域的使者」任務隨機取得、活動「紅利兌換」,捕捉,/img/原生寵物/麒麟.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #162
163,地底龜,野獸系,22,22,37,10,19,8,110,地5風5,攻擊LV1、防禦LV1,3級普卡,○,○,"雪拉威森塔、皇后陵寢(帶隊者須持有""彩葉草苗"")；請參考「彩葉草之戀」任務","雪拉威森塔39F(250,245)","雪拉威森塔、皇后陵寢(帶隊者須持有""彩葉草苗"")；請參考「彩葉草之戀」任務；雪拉威森塔39F(250,245)",捕捉,/img/原生寵物/地底龜.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #163
164,海底龜,野獸系,23,20,45,4,18,8,110,地5水5,攻擊LV1、防禦LV1,4級銀卡,○,○,米內葛爾島坎那貝拉村域南部、封印之塔,"米內葛爾島坎那貝拉村域南部(447,319)","米內葛爾島坎那貝拉村域南部、封印之塔；米內葛爾島坎那貝拉村域南部(447,319)",捕捉,/img/原生寵物/海底龜.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #164
165,火焰龜,野獸系,27,17,42,7,17,8,110,水5火5,攻擊LV1、防禦LV1,3級普卡,○,○,米內葛爾島中部、寧心谷,"米內葛爾島路霸後(378,268)","米內葛爾島中部、寧心谷；米內葛爾島路霸後(378,268)",捕捉,/img/原生寵物/火焰龜.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #165
166,硬殼龜,野獸系,26,16,47,5,16,8,110,火5風5,攻擊LV1、防禦LV1,4級銀卡,○,○,遭遇暴風雨後到達的無名小島上的無人的洞窟；請參考「舞者就職」任務,夕之湖全域(帶隊者必須持有淚之珠)；請參考「永恆之都」任務,遭遇暴風雨後到達的無名小島上的無人的洞窟；請參考「舞者就職」任務；夕之湖全域(帶隊者必須持有淚之珠)；請參考「永恆之都」任務,捕捉,/img/原生寵物/硬殼龜.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #166
167,鐮刀魔,不死系,23,35,18,17,32,6,125,地10,攻擊LV1、防禦LV1,6級普卡,╳,╳,白迷宮第一層,完成「最後的真相(一等勳章)…蘭國部分」任務隨機取得、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品,白迷宮第一層；完成「最後的真相(一等勳章)…蘭國部分」任務隨機取得、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品,捕捉,/img/原生寵物/鐮刀魔.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #167
168,暗黑僧侶,不死系,17,37,22,12,37,6,125,水10,攻擊LV1、防禦LV1,7級銀卡,╳,╳,白迷宮第一層、將軍塚,完成「2011年灰熊厲害」任務取得、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品,白迷宮第一層、將軍塚；完成「2011年灰熊厲害」任務取得、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品,捕捉,/img/原生寵物/暗黑僧侶.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #168
169,斬首者,不死系,19,42,20,15,29,6,125,火10,攻擊LV1、防禦LV1,7級銀卡,╳,╳,將軍塚、神秘的墓地,完成「最後的真相(一等勳章)…蘭國部分」任務隨機取得、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品,將軍塚、神秘的墓地；完成「最後的真相(一等勳章)…蘭國部分」任務隨機取得、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品,捕捉,/img/原生寵物/斬首者.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #169
170,冥界死神,不死系,25,40,12,21,27,6,125,風10,攻擊LV1、防禦LV1,6級普卡,╳,╳,諾斯菲拉特、將軍塚,活動「紅利兌換」、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品,諾斯菲拉特、將軍塚；活動「紅利兌換」、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品,捕捉,/img/原生寵物/冥界死神.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #170
171,牙骨,不死系,27,32,32,12,7,8,110,地9風1,攻擊LV1、防禦LV1,3級普卡,○,○,白迷宮,"白迷宮1樓(117,135)；請參考「誓言之花」任務、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品","白迷宮；白迷宮1樓(117,135)；請參考「誓言之花」任務、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/牙骨.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #171
172,顎牙,不死系,32,29,37,7,5,8,110,地1水9,戰慄襲心LV1、酒醉攻擊LV1,4級銀卡,○,○,伊姆爾森林、雪拉威森塔、日曜之城,"雪拉威森塔39F(148,302)、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品","伊姆爾森林、雪拉威森塔、日曜之城；雪拉威森塔39F(148,302)、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/顎牙.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #172
173,巨牙,不死系,25,30,27,17,11,8,110,水1火9,攻擊LV1、連擊LV1、混亂攻擊LV1,3級普卡,○,○,米內葛爾島南恰拉山第二通道,"南恰拉山第二通道(09,22)、(09,23)、完成「弦音語(將軍塚II)」任務隨機取得、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品","米內葛爾島南恰拉山第二通道；南恰拉山第二通道(09,22)、(09,23)、完成「弦音語(將軍塚II)」任務隨機取得、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/巨牙.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #173
174,利牙,不死系,30,37,30,9,4,8,110,火1風9,攻擊LV1、乾坤一擊LV1、吸血攻擊LV1,4級銀卡,○,○,白迷宮第二層,"白迷宮第二層(109,171)；請參考「誓言之花」任務、活動「紅利兌換」、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品","白迷宮第二層；白迷宮第二層(109,171)；請參考「誓言之花」任務、活動「紅利兌換」、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/利牙.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #174
175,獅鷲獸,飛行系,22,32,12,42,17,6,125,地6風4,攻擊LV1、防禦LV1,6級普卡,╳,○,,完成「獅鷲狩獵」任務隨機取得,完成「獅鷲狩獵」任務隨機取得,捕捉,/img/原生寵物/獅鷲獸.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #175
184,堀地蟲,昆蟲系,20,35,36,8,16,7,115,水8火2,攻擊LV1、防禦LV1,5級銀卡,○,○,米內葛爾島坎那貝拉村域,"米內葛爾島坎那貝拉村域(551,420)、(552,442)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包","米內葛爾島坎那貝拉村域；米內葛爾島坎那貝拉村域(551,420)、(552,442)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包",捕捉,/img/原生寵物/堀地蟲.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #184
188,水藍菇,植物系,38,15,13,15,34,7,115,地4水6,攻擊LV1、防禦LV1、酒醉攻擊LV1、抗酒醉LV1,4級普卡,○,○,米內葛爾島阿凱魯法村域、白之練兵場(紅)、將軍塚,"阿凱魯法村域(241,266)(241,268)；請參考「一級點傳送卷」傳送情報、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包","米內葛爾島阿凱魯法村域、白之練兵場(紅)、將軍塚；阿凱魯法村域(241,266)(241,268)；請參考「一級點傳送卷」傳送情報、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包",捕捉,/img/原生寵物/水藍菇.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #188
193,煙羅,特殊系,22,22,12,27,32,7,115,水3火7,攻擊LV1、防禦LV1,5級銀卡,○,○,"庫魯克斯島米諾基亞村貝尼恰斯火山、地下室(第一層)、地下室(第二層)、庫魯克斯島的守谷人(285,294)","貝尼恰斯火山地下9樓(30,56)、(29,59)；請參考「一級點傳送卷」傳送情報","庫魯克斯島米諾基亞村貝尼恰斯火山、地下室(第一層)、地下室(第二層)、庫魯克斯島的守谷人(285,294)；貝尼恰斯火山地下9樓(30,56)、(29,59)；請參考「一級點傳送卷」傳送情報",捕捉,/img/原生寵物/煙羅.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #193
208,迷你龍,龍系,10,35,23,21,26,7,115,地5水5,攻擊LV1、防禦LV1,5級銀卡,○,○,日曜之城、青蓮之路、蓮華之頂,"用LV30虛弱的雛鳥到哥拉爾雷姆爾山飼養師訓練所交換；請參考「鳳凰的羽毛」任務、左鍵雙擊「化龍轉生珠」隨機取得、日曜之城的神廟(26,29)","日曜之城、青蓮之路、蓮華之頂；用LV30虛弱的雛鳥到哥拉爾雷姆爾山飼養師訓練所交換；請參考「鳳凰的羽毛」任務、左鍵雙擊「化龍轉生珠」隨機取得、日曜之城的神廟(26,29)",捕捉,/img/原生寵物/迷你龍.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #208
211,大型半獸人,人形系,34,25,35,10,11,7,115,地6水4,攻擊LV1、防禦LV1,4級普卡,○,○,庫魯克斯島魯米那斯村域北方,"庫魯克斯島魯米那斯村域伊姆爾森林附近(460,629)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包","庫魯克斯島魯米那斯村域北方；庫魯克斯島魯米那斯村域伊姆爾森林附近(460,629)、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包",捕捉,/img/原生寵物/大型半獸人.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #211
1072,改造水蜘蛛,昆蟲系,28,20,21,24,32,9,125,水9火1,攻擊LV1、防禦LV1,？,╳,○,,完成「寵物改造I」任務取得,完成「寵物改造I」任務取得,捕捉,/img/原生寵物/改造水蜘蛛.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #1072
1085,改造綠色口臭鬼,植物系,40,25,18,17,25,7,125,地8風2,攻擊LV1、防禦LV1,？,╳,○,"伏月之街(第一層)的綠樹(18,29)(20,40)",完成「寵物改造I」任務取得,"伏月之街(第一層)的綠樹(18,29)(20,40)；完成「寵物改造I」任務取得",捕捉,/img/原生寵物/改造綠色口臭鬼.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #1085
